layer8_pc,best_layer15_pc,signed_cosine,abs_cosine,same_index_signed_cosine,same_index_abs_cosine
PC1,PC2,-0.330905,0.330905,0.248523,0.248523
PC2,PC1,-0.461458,0.461458,-0.313990,0.313990
PC3,PC6,-0.252227,0.252227,0.106338,0.106338
PC4,PC3,0.334028,0.334028,0.019911,0.019911
PC5,PC3,0.334340,0.334340,-0.173319,0.173319
PC6,PC5,-0.289105,0.289105,-0.060174,0.060174
PC7,PC7,-0.404442,0.404442,-0.404442,0.404442
PC8,PC11,0.275821,0.275821,-0.220009,0.220009
PC9,PC10,-0.271028,0.271028,0.038813,0.038813
PC10,PC9,-0.254814,0.254814,-0.001384,0.001384
PC11,PC13,-0.193410,0.193410,-0.166744,0.166744
PC12,PC12,-0.217699,0.217699,-0.217699,0.217699
PC13,PC6,0.164188,0.164188,0.027049,0.027049
PC14,PC13,-0.211048,0.211048,0.081522,0.081522
PC15,PC9,-0.148152,0.148152,-0.084326,0.084326
