layer0_pc,best_layer8_pc,signed_cosine,abs_cosine,same_index_signed_cosine,same_index_abs_cosine
PC1,PC1,0.354745,0.354745,0.354745,0.354745
PC2,PC3,0.307050,0.307050,0.190230,0.190230
PC3,PC3,-0.122553,0.122553,-0.122553,0.122553
PC4,PC2,-0.378402,0.378402,0.101694,0.101694
PC5,PC4,0.285312,0.285312,0.168767,0.168767
PC6,PC5,0.348695,0.348695,-0.001058,0.001058
PC7,PC2,-0.250660,0.250660,0.224261,0.224261
PC8,PC8,-0.293121,0.293121,-0.293121,0.293121
PC9,PC6,0.144120,0.144120,-0.089901,0.089901
PC10,PC12,0.182227,0.182227,0.007775,0.007775
PC11,PC7,-0.195273,0.195273,-0.029679,0.029679
PC12,PC14,0.148789,0.148789,0.092132,0.092132
PC13,PC13,-0.249730,0.249730,-0.249730,0.249730
PC14,PC9,0.224460,0.224460,0.100242,0.100242
PC15,PC14,-0.137640,0.137640,-0.021384,0.021384
