target,label_mode,n_features,model,direction_training_window,n_train,n_test,train_positive_rate,test_positive_rate,test_average_precision,test_n_positive,test_n_total,test_roc_auc,test_best_threshold,test_f1,test_precision,test_recall
AR,intersection,5,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.09692009113365443,375759,8561058,0.73077301800183,0.6493969428894304,0.16463824355254364,0.10555485445061417,0.373957776127784
AR,intersection,10,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.13968501489328125,375759,8561058,0.7802552513341707,0.7167246045360959,0.22531844048866426,0.16322011508942244,0.3636852344188695
AR,intersection,25,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.2801471977629365,375759,8561058,0.8875659321062614,0.8125627636848034,0.3640637185452043,0.2891557585268295,0.49135216987484
AR,intersection,50,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.4117180692013128,375759,8561058,0.9204399454803177,0.8541002564388124,0.4545658433370562,0.3957056001135918,0.5339965243680125
AR,intersection,100,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.4772799094652782,375759,8561058,0.9353921658664899,0.8678349021021711,0.4960620175841412,0.43871350532970516,0.5706583208918482
AR,intersection,200,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.5406398396829487,375759,8561058,0.9470950897002421,0.8826183814897149,0.5373921473114598,0.4912756027715255,0.5930636391942707
AR,intersection,400,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.5728677732755311,375759,8561058,0.9541120200040295,0.8957038338199419,0.5581448867959778,0.5215482158382508,0.6002650635114528
