feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.068154107
position_context,Position context,Static/context,0.42697101
land_sea_mask,Land-sea mask,Static/context,0.089819453
local_time_context,Local time context,Static/context,0.087914095
2m_temperature,2m temperature,Surface/single-level,0.12435935
10m_u_component_of_wind,10m U wind,Surface/single-level,0.12200961
10m_v_component_of_wind,10m V wind,Surface/single-level,0.071898178
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.20919895
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.050005256
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.11928466
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.19023021
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.13855895
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.12445499
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.1139582
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.1024666
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.093261614
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.078969249
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.066201002
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.057729819
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.060939882
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.097704881
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.14183683
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.20270193
temperature_lev08,Temperature 50 hPa,Temperature,0.20620979
temperature_lev10,Temperature 100 hPa,Temperature,0.26974943
temperature_lev12,Temperature 150 hPa,Temperature,0.22557653
temperature_lev14,Temperature 200 hPa,Temperature,0.19040533
temperature_lev16,Temperature 250 hPa,Temperature,0.22408487
temperature_lev17,Temperature 300 hPa,Temperature,0.19084852
temperature_lev19,Temperature 400 hPa,Temperature,0.14871206
temperature_lev21,Temperature 500 hPa,Temperature,0.1315463
temperature_lev23,Temperature 600 hPa,Temperature,0.11938419
temperature_lev25,Temperature 700 hPa,Temperature,0.10625218
temperature_lev30,Temperature 850 hPa,Temperature,0.10846189
temperature_lev33,Temperature 925 hPa,Temperature,0.13310931
temperature_lev36,Temperature 1000 hPa,Temperature,0.15807733
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.29272488
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.12200632
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.12283164
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.09615997
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.087088448
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.07927976
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.078162005
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.08451082
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.098469048
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.093287664
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.11824489
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.12656754
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.1224266
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.1520794
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.12877516
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.12487252
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.12454673
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.12137415
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.11265081
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.08196104
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.063284419
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.053515336
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.055617009
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.1341336
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.15090351
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.13539246
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.036327717
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.039259301
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.043279454
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.03904462
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.030992281
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.029869239
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.031224645
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.027085073
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.02388582
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.024485468
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.046798587
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.056647305
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.067616863
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.014735488
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.014931188
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.013774898
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.043787342
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.063832644
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.067988472
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.063160314
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.061878626
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.058980168
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.056752089
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.063554687
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.069783651
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.058443602
