feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.10963791
position_context,Position context,Static/context,0.084313447
land_sea_mask,Land-sea mask,Static/context,0.15862037
local_time_context,Local time context,Static/context,0.078697547
2m_temperature,2m temperature,Surface/single-level,0.17494511
10m_u_component_of_wind,10m U wind,Surface/single-level,0.18409844
10m_v_component_of_wind,10m V wind,Surface/single-level,0.062287343
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.091844089
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.06057804
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.081437616
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.12236002
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.16085587
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.17310045
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.17767292
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.17802175
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.17692004
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.17402396
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.17083905
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.16683565
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.16076038
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.14254676
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.12405068
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.095699351
temperature_lev08,Temperature 50 hPa,Temperature,0.14125571
temperature_lev10,Temperature 100 hPa,Temperature,0.20704144
temperature_lev12,Temperature 150 hPa,Temperature,0.19593447
temperature_lev14,Temperature 200 hPa,Temperature,0.05498032
temperature_lev16,Temperature 250 hPa,Temperature,0.15565846
temperature_lev17,Temperature 300 hPa,Temperature,0.18147334
temperature_lev19,Temperature 400 hPa,Temperature,0.18368715
temperature_lev21,Temperature 500 hPa,Temperature,0.17831642
temperature_lev23,Temperature 600 hPa,Temperature,0.17394598
temperature_lev25,Temperature 700 hPa,Temperature,0.16946153
temperature_lev30,Temperature 850 hPa,Temperature,0.15196052
temperature_lev33,Temperature 925 hPa,Temperature,0.14440669
temperature_lev36,Temperature 1000 hPa,Temperature,0.15341535
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.1179193
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.09819379
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.15891386
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.17476092
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.16784129
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.15651938
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.17825242
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.19070479
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.17665567
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.14367239
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.1615172
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.1967024
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.20256046
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.11374932
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.13112812
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.11136335
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.10093325
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.097019449
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.098323997
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.11129414
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.13675747
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.16191242
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.1864004
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.19541491
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.18575219
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.17899864
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.055512275
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.11704917
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.16584122
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.19479716
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.19881971
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.19364599
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.19493085
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.20040633
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.19382592
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.16768516
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.10617854
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.075905529
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.062946256
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.022254636
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.025921126
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.035171393
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.045588178
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.047538411
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.045404887
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.042406388
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.045257473
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.04076331
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.032228029
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.019449496
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.022101904
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.050914668
