feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.036758555
position_context,Position context,Static/context,0.10585084
land_sea_mask,Land-sea mask,Static/context,0.10285802
local_time_context,Local time context,Static/context,0.078875679
2m_temperature,2m temperature,Surface/single-level,0.060942322
10m_u_component_of_wind,10m U wind,Surface/single-level,0.36754701
10m_v_component_of_wind,10m V wind,Surface/single-level,0.45600701
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.19444175
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.026147127
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.091680524
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.080617608
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.070422937
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.071605964
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.069127395
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.066115778
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.06548237
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.068700265
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.075840141
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.086575901
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.10269499
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.14140292
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.16605446
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.18963764
temperature_lev08,Temperature 50 hPa,Temperature,0.084368143
temperature_lev10,Temperature 100 hPa,Temperature,0.070521623
temperature_lev12,Temperature 150 hPa,Temperature,0.053119851
temperature_lev14,Temperature 200 hPa,Temperature,0.096296621
temperature_lev16,Temperature 250 hPa,Temperature,0.081352933
temperature_lev17,Temperature 300 hPa,Temperature,0.066383197
temperature_lev19,Temperature 400 hPa,Temperature,0.061921459
temperature_lev21,Temperature 500 hPa,Temperature,0.059649088
temperature_lev23,Temperature 600 hPa,Temperature,0.057487095
temperature_lev25,Temperature 700 hPa,Temperature,0.055484847
temperature_lev30,Temperature 850 hPa,Temperature,0.053905692
temperature_lev33,Temperature 925 hPa,Temperature,0.055629938
temperature_lev36,Temperature 1000 hPa,Temperature,0.05988939
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.086685743
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.060445109
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.055647826
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.054201768
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.052823382
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.049640162
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.049079704
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.048934292
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.056600935
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.066867077
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.067700891
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.06456666
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.064767185
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.15834762
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.13422229
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.088736011
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.09419822
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.12449085
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.16048675
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.22241198
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.26986812
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.30738168
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.33976611
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.38848775
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.40027447
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.37079909
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.057666746
