feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.48048636
position_context,Position context,Static/context,0.22104689
land_sea_mask,Land-sea mask,Static/context,0.76062499
local_time_context,Local time context,Static/context,0.17009527
2m_temperature,2m temperature,Surface/single-level,0.44693423
10m_u_component_of_wind,10m U wind,Surface/single-level,0.15541011
10m_v_component_of_wind,10m V wind,Surface/single-level,0.040761407
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.11978893
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.075547765
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.15701846
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.28573154
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.33901605
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.35269916
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.3557588
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.35348028
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.35035167
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.34450586
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.33637861
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.32415549
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.30655578
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.26535844
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.22357354
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.14226665
temperature_lev08,Temperature 50 hPa,Temperature,0.1486324
temperature_lev10,Temperature 100 hPa,Temperature,0.25844826
temperature_lev12,Temperature 150 hPa,Temperature,0.2298352
temperature_lev14,Temperature 200 hPa,Temperature,0.10571684
temperature_lev16,Temperature 250 hPa,Temperature,0.32149159
temperature_lev17,Temperature 300 hPa,Temperature,0.35366445
temperature_lev19,Temperature 400 hPa,Temperature,0.35567412
temperature_lev21,Temperature 500 hPa,Temperature,0.36069274
temperature_lev23,Temperature 600 hPa,Temperature,0.35870353
temperature_lev25,Temperature 700 hPa,Temperature,0.34770694
temperature_lev30,Temperature 850 hPa,Temperature,0.28441161
temperature_lev33,Temperature 925 hPa,Temperature,0.27637363
temperature_lev36,Temperature 1000 hPa,Temperature,0.3157063
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.22007761
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.16983764
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.27361291
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.24679332
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.22142684
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.1953702
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.1793663
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.17195559
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.18278419
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.23137545
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.43889125
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.53253281
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.55471925
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.1941978
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.1674025
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.12587394
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.13645973
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.14630426
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.14785645
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.14529364
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.13941825
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.12636334
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.12050903
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.12321486
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.12514266
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.15529452
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.038906042
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.038252507
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.037613651
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.030566384
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.025319426
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.024787754
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.030812629
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.03922907
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.049059572
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.04387124
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.031046038
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.034689366
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.041506219
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.019201864
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.015757927
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.015497254
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.016154637
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.018137389
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.02056567
