feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.19373331
position_context,Position context,Static/context,0.12576398
land_sea_mask,Land-sea mask,Static/context,0.17478398
local_time_context,Local time context,Static/context,0.181114
2m_temperature,2m temperature,Surface/single-level,0.07910287
10m_u_component_of_wind,10m U wind,Surface/single-level,0.042127643
10m_v_component_of_wind,10m V wind,Surface/single-level,0.027612952
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.094669165
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.039066989
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.045855787
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.07107269
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.054934724
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.054958581
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.055435822
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.055845605
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.056284664
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.057337263
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.058340813
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.058843868
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.060367228
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.06896414
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.077650159
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.088206701
temperature_lev08,Temperature 50 hPa,Temperature,0.12173323
temperature_lev10,Temperature 100 hPa,Temperature,0.092067431
temperature_lev12,Temperature 150 hPa,Temperature,0.10732272
temperature_lev14,Temperature 200 hPa,Temperature,0.10698726
temperature_lev16,Temperature 250 hPa,Temperature,0.063434294
temperature_lev17,Temperature 300 hPa,Temperature,0.057399586
temperature_lev19,Temperature 400 hPa,Temperature,0.055671898
temperature_lev21,Temperature 500 hPa,Temperature,0.058233539
temperature_lev23,Temperature 600 hPa,Temperature,0.060099357
temperature_lev25,Temperature 700 hPa,Temperature,0.051900065
temperature_lev30,Temperature 850 hPa,Temperature,0.051925208
temperature_lev33,Temperature 925 hPa,Temperature,0.054260376
temperature_lev36,Temperature 1000 hPa,Temperature,0.05377364
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.10207642
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.054677793
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.05989251
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.053657869
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.046367899
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.04148444
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.037315987
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.039037656
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.047467076
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.046818106
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.087878664
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.080431552
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.081153023
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.051372064
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.088496773
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.10955306
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.11139649
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.11462056
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.11364023
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.096313025
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.065371581
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.042247204
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.038427317
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.041174253
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.039560416
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.042808332
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.034589245
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.041754915
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.042864421
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.037712154
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.031635727
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.029276501
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.031480651
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.030754378
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.029695901
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.029026591
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.030756156
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.032996165
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.0276706
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.014378155
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.018268783
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.021606656
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.01602347
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.014939296
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.014914108
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.013791111
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.013754631
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.012221736
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.022684284
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.082501226
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.10132728
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.036127064
