feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.12266491
position_context,Position context,Static/context,0.11157327
land_sea_mask,Land-sea mask,Static/context,0.048312411
local_time_context,Local time context,Static/context,0.12561796
2m_temperature,2m temperature,Surface/single-level,0.074407361
10m_u_component_of_wind,10m U wind,Surface/single-level,0.04613457
10m_v_component_of_wind,10m V wind,Surface/single-level,0.06660221
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.067586084
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.028842194
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.080843593
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.10262751
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.096685069
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.089502125
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.090501659
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.091897824
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.091879897
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.08857065
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.082910055
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.077200191
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.075015337
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.074112093
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.069151361
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.063889489
temperature_lev08,Temperature 50 hPa,Temperature,0.058494231
temperature_lev10,Temperature 100 hPa,Temperature,0.076714068
temperature_lev12,Temperature 150 hPa,Temperature,0.077267708
temperature_lev14,Temperature 200 hPa,Temperature,0.038497028
temperature_lev16,Temperature 250 hPa,Temperature,0.067469838
temperature_lev17,Temperature 300 hPa,Temperature,0.091829451
temperature_lev19,Temperature 400 hPa,Temperature,0.10526464
temperature_lev21,Temperature 500 hPa,Temperature,0.10484882
temperature_lev23,Temperature 600 hPa,Temperature,0.090419436
temperature_lev25,Temperature 700 hPa,Temperature,0.071283429
temperature_lev30,Temperature 850 hPa,Temperature,0.07573632
temperature_lev33,Temperature 925 hPa,Temperature,0.075582633
temperature_lev36,Temperature 1000 hPa,Temperature,0.083394039
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.059888041
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.059928445
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.048749979
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.073290568
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.098967137
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.12299256
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.14046644
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.10584859
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.059071714
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.060165949
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.055325615
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.062514131
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.067353148
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.062854498
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.11428621
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.2239537
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.25374101
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.25496479
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.24058288
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.1996644
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.13159063
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.052203089
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.047963093
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.059748827
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.042726864
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.046179065
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.034038151
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.035190408
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.038084188
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.042222392
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.047921882
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.049267696
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.045632382
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.042054777
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.039349367
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.043731837
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.049657008
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.057825147
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.06588615
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.016466259
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.01566613
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.019778294
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.034265237
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.043776624
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.047457055
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.043894209
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.035773285
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.037302974
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.045535274
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.018422469
