feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.19713831
position_context,Position context,Static/context,0.054015624
land_sea_mask,Land-sea mask,Static/context,0.052657492
local_time_context,Local time context,Static/context,0.060913038
2m_temperature,2m temperature,Surface/single-level,0.094981954
10m_u_component_of_wind,10m U wind,Surface/single-level,0.099183699
10m_v_component_of_wind,10m V wind,Surface/single-level,0.19359126
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.053752833
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.060418535
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.053015861
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.080921777
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.085837348
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.085317166
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.080967264
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.076821111
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.073432108
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.067344161
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.062657101
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.059327759
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.057190543
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.055765427
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.060069029
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.066888201
temperature_lev08,Temperature 50 hPa,Temperature,0.088335488
temperature_lev10,Temperature 100 hPa,Temperature,0.072632706
temperature_lev12,Temperature 150 hPa,Temperature,0.074872789
temperature_lev14,Temperature 200 hPa,Temperature,0.091294119
temperature_lev16,Temperature 250 hPa,Temperature,0.10847868
temperature_lev17,Temperature 300 hPa,Temperature,0.1025882
temperature_lev19,Temperature 400 hPa,Temperature,0.090808052
temperature_lev21,Temperature 500 hPa,Temperature,0.079630425
temperature_lev23,Temperature 600 hPa,Temperature,0.069017169
temperature_lev25,Temperature 700 hPa,Temperature,0.069553677
temperature_lev30,Temperature 850 hPa,Temperature,0.056488225
temperature_lev33,Temperature 925 hPa,Temperature,0.037206227
temperature_lev36,Temperature 1000 hPa,Temperature,0.037856369
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.095462829
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.055469713
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.098415209
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.095473036
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.082474576
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.071976636
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.055193426
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.057197354
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.078790013
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.12432025
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.1311288
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.14133377
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.11661148
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.048023059
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.1004506
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.10440326
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.095753476
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.086912108
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.080326899
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.082399942
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.084760961
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.080627289
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.080510114
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.10254585
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.11774395
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.10451822
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.040562803
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.035275599
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.036902346
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.038957508
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.041127407
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.038265658
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.031152939
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.031618078
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.039486676
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.066530724
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.14979923
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.18967336
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.19766469
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.017275112
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.020390837
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.023361788
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.027947348
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.029318216
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.028900376
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.023755665
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.020070916
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.019231785
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.020952111
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.046564362
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.061082442
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.064432572
