feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.043694227
position_context,Position context,Static/context,0.26541347
land_sea_mask,Land-sea mask,Static/context,0.1412906
local_time_context,Local time context,Static/context,0.064801562
2m_temperature,2m temperature,Surface/single-level,0.42937844
10m_u_component_of_wind,10m U wind,Surface/single-level,0.32201762
10m_v_component_of_wind,10m V wind,Surface/single-level,0.044078269
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.10237138
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.038841445
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.12452235
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.22709242
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.44223786
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.51996391
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.54556989
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.55014515
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.54564245
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.52863612
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.5091985
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.48785917
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.45584772
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.34745049
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.24561734
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.12300766
temperature_lev08,Temperature 50 hPa,Temperature,0.38363319
temperature_lev10,Temperature 100 hPa,Temperature,0.59008264
temperature_lev12,Temperature 150 hPa,Temperature,0.55176156
temperature_lev14,Temperature 200 hPa,Temperature,0.11644523
temperature_lev16,Temperature 250 hPa,Temperature,0.46344632
temperature_lev17,Temperature 300 hPa,Temperature,0.56993411
temperature_lev19,Temperature 400 hPa,Temperature,0.58660126
temperature_lev21,Temperature 500 hPa,Temperature,0.56775883
temperature_lev23,Temperature 600 hPa,Temperature,0.55247851
temperature_lev25,Temperature 700 hPa,Temperature,0.55362791
temperature_lev30,Temperature 850 hPa,Temperature,0.57381021
temperature_lev33,Temperature 925 hPa,Temperature,0.54137219
temperature_lev36,Temperature 1000 hPa,Temperature,0.49657316
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.16380499
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.27202619
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.52568756
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.45733172
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.3933491
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.33004162
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.28636955
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.30557955
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.36596892
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.4081086
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.40523904
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.43971827
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.48302026
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.36408253
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.42498148
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.29548902
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.28599
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.2992222
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.3120193
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.34996482
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.3821503
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.39239023
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.38228345
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.35918011
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.3402593
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.31496994
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.035166933
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.033051655
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.03456326
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.031903101
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.027778884
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.026195708
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.025779938
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.024978037
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.02389277
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.025736934
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.031071105
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.042528835
