feature,label,category,score
geopotential_at_surface,Surface geopotential,Static/context,0.21131322
position_context,Position context,Static/context,0.14274755
land_sea_mask,Land-sea mask,Static/context,0.092322405
local_time_context,Local time context,Static/context,0.20022858
2m_temperature,2m temperature,Surface/single-level,0.081514717
10m_u_component_of_wind,10m U wind,Surface/single-level,0.14125937
10m_v_component_of_wind,10m V wind,Surface/single-level,0.052611673
mean_sea_level_pressure,Mean sea-level pressure,Surface/single-level,0.091843711
total_precipitation_6hr,Total precipitation 6h,Surface/single-level,0.026875528
toa_incident_solar_radiation,TOA solar radiation,Surface/single-level,0.057215052
geopotential_lev08,Geopotential 50 hPa,Geopotential,0.057233802
geopotential_lev10,Geopotential 100 hPa,Geopotential,0.06375337
geopotential_lev12,Geopotential 150 hPa,Geopotential,0.068059602
geopotential_lev14,Geopotential 200 hPa,Geopotential,0.069369816
geopotential_lev16,Geopotential 250 hPa,Geopotential,0.070386629
geopotential_lev17,Geopotential 300 hPa,Geopotential,0.071217907
geopotential_lev19,Geopotential 400 hPa,Geopotential,0.071621911
geopotential_lev21,Geopotential 500 hPa,Geopotential,0.07123039
geopotential_lev23,Geopotential 600 hPa,Geopotential,0.071048106
geopotential_lev25,Geopotential 700 hPa,Geopotential,0.07192491
geopotential_lev30,Geopotential 850 hPa,Geopotential,0.075873327
geopotential_lev33,Geopotential 925 hPa,Geopotential,0.079545203
geopotential_lev36,Geopotential 1000 hPa,Geopotential,0.083879777
temperature_lev08,Temperature 50 hPa,Temperature,0.074694951
temperature_lev10,Temperature 100 hPa,Temperature,0.070482488
temperature_lev12,Temperature 150 hPa,Temperature,0.067304201
temperature_lev14,Temperature 200 hPa,Temperature,0.086805122
temperature_lev16,Temperature 250 hPa,Temperature,0.06619464
temperature_lev17,Temperature 300 hPa,Temperature,0.066062349
temperature_lev19,Temperature 400 hPa,Temperature,0.07077873
temperature_lev21,Temperature 500 hPa,Temperature,0.071064401
temperature_lev23,Temperature 600 hPa,Temperature,0.066613384
temperature_lev25,Temperature 700 hPa,Temperature,0.063846102
temperature_lev30,Temperature 850 hPa,Temperature,0.068640355
temperature_lev33,Temperature 925 hPa,Temperature,0.063995224
temperature_lev36,Temperature 1000 hPa,Temperature,0.061239065
specific_humidity_lev08,Specific humidity 50 hPa,Specific humidity,0.10843488
specific_humidity_lev10,Specific humidity 100 hPa,Specific humidity,0.064779793
specific_humidity_lev12,Specific humidity 150 hPa,Specific humidity,0.063708057
specific_humidity_lev14,Specific humidity 200 hPa,Specific humidity,0.07541611
specific_humidity_lev16,Specific humidity 250 hPa,Specific humidity,0.083529544
specific_humidity_lev17,Specific humidity 300 hPa,Specific humidity,0.091753375
specific_humidity_lev19,Specific humidity 400 hPa,Specific humidity,0.11382643
specific_humidity_lev21,Specific humidity 500 hPa,Specific humidity,0.1025424
specific_humidity_lev23,Specific humidity 600 hPa,Specific humidity,0.077534376
specific_humidity_lev25,Specific humidity 700 hPa,Specific humidity,0.069884752
specific_humidity_lev30,Specific humidity 850 hPa,Specific humidity,0.078514892
specific_humidity_lev33,Specific humidity 925 hPa,Specific humidity,0.080007617
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.080607453
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.082833633
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.12532092
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.16466067
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.20736338
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.23003028
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.23596396
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.23078336
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.24399287
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.26333009
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.27028378
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.21471055
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.16462459
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.13615957
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.038913518
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.058695269
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.064329893
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.064795602
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.073457393
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.078832522
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.061349528
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.038822384
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.045956505
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.093686314
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.11275238
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.037634932
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.047904446
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.018364262
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.020961554
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.028448256
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.030664517
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.031446355
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.030231908
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.025854089
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.026144512
