PC,R2_all_geography,strongest_single_predictor,strongest_abs_corr,corr_fractional_lsm,corr_latitude,corr_elevation
1,0.7110400378795364,fractional_lsm,0.8366244728265088,-0.8366244728265088,-0.1545133613698654,-0.5281858219232788
4,0.7036641223399114,latitude,0.7836570184890013,-0.078528537228845,0.7836570184890013,-0.10625559060040177
2,0.1427531930999606,fractional_lsm,0.2953797455847472,-0.2953797455847472,-0.04135279876725436,-0.17118625870317164
5,0.1000366188509011,cos_longitude,0.19229923464830975,-0.019098815595944875,-0.0982738233361329,-0.18496448054235287
3,0.03213048174592659,fractional_lsm,0.13982573923471414,-0.13982573923471414,0.004740267977756956,-0.028732665244167198
