center_lat,center_lon,min_mslp_hpa,max_10m_wind,mean_precip,max_precip,gamma,lead_hours,lead_label,forecast_valid_time,tc_id,component_n_pixels,initial_center_lat,initial_center_lon,initial_center_mslp_hpa,mask_file,mask_time,mask_time_diff_h,file,control_center_lat,control_center_lon,control_min_mslp_hpa,control_max_10m_wind,track_error_km,delta_min_mslp_hpa,delta_max_10m_wind
-17.25,75.0,988.5567016601562,19.975744247436523,0.018533702939748764,0.06110585108399391,-1.0,6.0,6h,2021-03-11 00:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-17.25,75.0,988.2232055664062,20.28390121459961,0.0,0.33349609375,-0.30815696716308594
-17.5,74.25,991.433837890625,19.687332153320312,0.01586700975894928,0.051117442548274994,-1.0,12.0,12h,2021-03-11 06:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-17.5,74.25,990.599853515625,20.09153938293457,0.0,0.833984375,-0.4042072296142578
-17.75,73.75,990.5997924804688,18.62903594970703,0.015289808623492718,0.041626956313848495,-1.0,18.0,18h,2021-03-11 12:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-17.75,73.75,989.1613159179688,19.38031005859375,0.0,1.4384765625,-0.7512741088867188
-18.0,73.25,993.7265014648438,18.91274642944336,0.01620492897927761,0.03609033674001694,-1.0,24.0,1d,2021-03-11 18:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-17.75,73.25,991.5892944335938,19.821020126342773,27.798731661139723,2.13720703125,-0.9082736968994141
-18.25,72.5,990.4884643554688,19.3914794921875,0.017353003844618797,0.05054985731840134,-1.0,30.0,1d 6h,2021-03-12 00:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-18.25,72.5,987.720703125,20.416400909423828,0.0,2.76776123046875,-1.0249214172363281
-18.25,72.0,993.9034423828125,19.71248435974121,0.017297033220529556,0.06285568326711655,-1.0,36.0,1d 12h,2021-03-12 06:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-18.25,72.0,990.2966918945312,21.035127639770508,0.0,3.60675048828125,-1.3226432800292969
-18.75,71.25,991.8654174804688,19.544239044189453,0.015339693985879421,0.06466404348611832,-1.0,42.0,1d 18h,2021-03-12 12:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-18.75,71.25,987.4039306640625,21.175867080688477,0.0,4.46148681640625,-1.6316280364990234
-19.0,71.0,995.3029174804688,19.495594024658203,0.016278499737381935,0.07235237956047058,-1.0,48.0,2d,2021-03-12 18:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-19.0,71.25,990.20556640625,21.500537872314453,26.284214953653223,5.09735107421875,-2.00494384765625
-19.5,70.75,994.1676635742188,19.160070419311523,0.016091641038656235,0.06797806173563004,-1.0,54.0,2d 6h,2021-03-13 00:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-19.5,70.75,988.5206298828125,21.093482971191406,0.0,5.64703369140625,-1.9334125518798828
-19.75,70.5,996.3495483398438,18.4718074798584,0.015349400229752064,0.07056225091218948,-1.0,60.0,2d 12h,2021-03-13 06:00:00,1,461,-17.25,75.0,988.2232055664062,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/TC/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-03-10T18/data/gamma_-1.0.nc,-19.75,70.75,989.4249267578125,21.397056579589844,26.16349712406126,6.92462158203125,-2.9252490997314453
