center_lat,center_lon,min_mslp_hpa,max_10m_wind,source,lead_hours,lead_label,forecast_valid_time,era5_time,era5_file,tc_id,component_n_pixels,initial_center_lat,initial_center_lon,mask_file,mask_time,mask_time_diff_h
-17.5,75.0,986.0582885742188,21.958250045776367,ERA5,6.0,6h,2021-03-11 00:00:00,2021-03-11 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-11.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-17.75,74.25,987.5906982421875,22.658565521240234,ERA5,12.0,12h,2021-03-11 06:00:00,2021-03-11 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-11.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-18.0,73.75,985.40576171875,23.93017578125,ERA5,18.0,18h,2021-03-11 12:00:00,2021-03-11 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-11.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-18.25,73.0,987.7880249023438,24.817920684814453,ERA5,24.0,1d,2021-03-11 18:00:00,2021-03-11 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-11.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-18.5,72.25,982.17236328125,26.2968692779541,ERA5,30.0,1d 6h,2021-03-12 00:00:00,2021-03-12 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-12.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-18.75,71.5,983.361572265625,27.73081398010254,ERA5,36.0,1d 12h,2021-03-12 06:00:00,2021-03-12 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-12.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-19.25,71.0,981.37646484375,27.22593879699707,ERA5,42.0,1d 18h,2021-03-12 12:00:00,2021-03-12 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-12.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-19.5,70.75,985.1423950195312,25.273679733276367,ERA5,48.0,2d,2021-03-12 18:00:00,2021-03-12 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-12.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-20.0,70.25,979.591552734375,26.610347747802734,ERA5,54.0,2d 6h,2021-03-13 00:00:00,2021-03-13 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-13.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-20.75,70.0,979.6074829101562,27.596946716308594,ERA5,60.0,2d 12h,2021-03-13 06:00:00,2021-03-13 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-13.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-21.25,69.75,975.2118530273438,27.99748420715332,ERA5,66.0,2d 18h,2021-03-13 12:00:00,2021-03-13 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-13.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-21.5,69.75,978.4823608398438,27.283740997314453,ERA5,72.0,3d,2021-03-13 18:00:00,2021-03-13 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-13.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-21.75,70.0,977.3939819335938,26.243633270263672,ERA5,78.0,3d 6h,2021-03-14 00:00:00,2021-03-14 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-14.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.0,70.25,982.92626953125,24.904130935668945,ERA5,84.0,3d 12h,2021-03-14 06:00:00,2021-03-14 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-14.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.0,70.5,987.60888671875,23.52193260192871,ERA5,90.0,3d 18h,2021-03-14 12:00:00,2021-03-14 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-14.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.25,71.0,987.8780517578125,24.926618576049805,ERA5,96.0,4d,2021-03-14 18:00:00,2021-03-14 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-14.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.5,71.5,990.0270385742188,21.643953323364258,ERA5,102.0,4d 6h,2021-03-15 00:00:00,2021-03-15 00:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-15.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.75,71.25,992.4075927734375,23.471364974975586,ERA5,108.0,4d 12h,2021-03-15 06:00:00,2021-03-15 06:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-15.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.5,71.25,993.2259521484375,21.40460968017578,ERA5,114.0,4d 18h,2021-03-15 12:00:00,2021-03-15 12:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-15.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
-22.5,71.25,997.1549072265625,19.332975387573242,ERA5,120.0,5d,2021-03-15 18:00:00,2021-03-15 18:00:00,/share/prj-4d/graphcast_shared/data/era5_daily_nc/era5_2021-03-15.nc,1,461,-17.25,75.0,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/TC_labels_cleaned/2021-03-11T00:00:00.000000000.nc,2021-03-11 00:00:00,0.0
