target,label_mode,n_features,model,direction_training_window,n_train,n_test,train_positive_rate,test_positive_rate,test_average_precision,test_f1,test_precision,test_recall,test_n_positive,test_n_total,test_roc_auc
AR,intersection,5,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.10290867242860498,0.1461169043918112,0.08175291920418135,0.686958928462126,375759,8561058,0.7291949228297427
AR,intersection,10,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.16966872256059992,0.17789657125541636,0.10109008029474707,0.7405650962451997,375759,8561058,0.7917859377903692
AR,intersection,25,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.11043473266118921,0.1682347596392437,0.10024657237858657,0.5228085022580963,375759,8561058,0.7291758420726966
AR,intersection,50,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.0905971690156395,0.1444958071996646,0.08866102791364122,0.3902714239712156,375759,8561058,0.6764409233363609
AR,intersection,100,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.09599770755619288,0.15180353481626047,0.09492086482535847,0.37881195127728146,375759,8561058,0.6927188454414805
AR,intersection,200,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.09634980897542096,0.15353861008789949,0.09817575745432715,0.3520847138724555,375759,8561058,0.6929286071311402
AR,intersection,400,logistic_l2_balanced,2020_train_only,8642982,8561058,0.04102611806897203,0.04389165451279503,0.09206625897201579,0.15097729254493247,0.09798755028744749,0.3287692377295022,375759,8561058,0.6889592588881087
