PC,corr_fractional_lsm,corr_binary_land,corr_latitude,corr_sin_longitude,corr_cos_longitude,corr_elevation,R2_all_geography,beta_fractional_lsm,beta_binary_land,beta_latitude,beta_sin_longitude,beta_cos_longitude,beta_elevation,strongest_single_predictor,strongest_abs_corr
1,-0.8366244728265088,-0.8232485290695783,-0.1545133613698654,-0.1425679644119478,-0.2445793090376142,-0.5281858219232788,0.7110400378795364,-4.530728171560713,1.2482992615690565,0.16886735925515733,-0.05955440744844495,-0.29945517305893365,-0.1984281899620005,fractional_lsm,0.8366244728265088
2,-0.2953797455847472,-0.28837234974854853,-0.04135279876725436,-0.23860238871530898,0.062396339145531866,-0.17118625870317164,0.1427531930999606,-1.5464648207902023,0.6104588972428148,0.10404497427601819,-0.5714809897117145,0.3702333856454193,0.09632204860201424,fractional_lsm,0.2953797455847472
3,-0.13982573923471414,-0.13361267185479178,0.004740267977756956,-0.07560915126802177,-0.0057460499990812835,-0.028732665244167198,0.03213048174592659,-1.3814228988964756,0.8144741939208703,0.14445232006187342,-0.15865067658903742,0.07739120783687722,0.27385762870856745,fractional_lsm,0.13982573923471414
4,-0.078528537228845,-0.07460281939642972,0.7836570184890013,-0.1367607442235646,-0.047167682261330425,-0.10625559060040177,0.7036641223399114,-1.145367745499289,0.26623035626631564,2.3874072560825375,-0.2769235251937671,0.03189505078147532,0.19966808112912238,latitude,0.7836570184890013
5,-0.019098815595944875,-0.021400788193225447,-0.0982738233361329,-0.04586686631840696,0.19229923464830975,-0.18496448054235287,0.1000366188509011,0.6977994461679162,-0.4146714705376746,-0.2555412320783551,-0.054421342574590845,0.3915112501100966,-0.5744345665160688,cos_longitude,0.19229923464830975
