mode,PC,mean_offdiagonal_similarity,std_offdiagonal_similarity,one_step_similarity,one_day_similarity,seven_day_similarity,thirty_day_similarity,ninety_day_similarity,one_year_similarity,min_similarity,max_similarity
z_scored,1,0.7879121,0.03060615,0.9143974184989929,0.8804984092712402,0.833056628704071,0.8204410076141357,0.7888547778129578,,0.6647319,0.9303111
z_scored,2,0.45293948,0.08732234,0.8790565133094788,0.7454061508178711,0.5657224655151367,0.5301215052604675,0.446554034948349,,0.18266375,0.90497947
z_scored,3,0.52809393,0.065462306,0.8274037837982178,0.7285376787185669,0.6104702949523926,0.5895810127258301,0.5301984548568726,,0.24113059,0.8723579
z_scored,4,0.5416554,0.05156669,0.8443406224250793,0.7360230684280396,0.6076899766921997,0.5919169187545776,0.557164192199707,,0.3739523,0.8757202
z_scored,5,0.2968273,0.11784999,0.7991538047790527,0.6612180471420288,0.44364407658576965,0.403151273727417,0.27725329995155334,,-0.11075057,0.8535277
z_scored,6,0.24677137,0.09321889,0.7173090577125549,0.626664400100708,0.40716564655303955,0.3755292296409607,0.2892514765262604,,-0.07761733,0.7956809
z_scored,7,0.31252256,0.0828851,0.7016972303390503,0.6108957529067993,0.46473315358161926,0.42103955149650574,0.34056949615478516,,0.042685095,0.791005
z_scored,8,0.34662208,0.083315715,0.7826571464538574,0.6475850939750671,0.4693004786968231,0.4391411244869232,0.35179439187049866,,0.06773298,0.82482356
z_scored,9,0.18420883,0.08246583,0.7212665677070618,0.5741965770721436,0.3109187185764313,0.2672766149044037,0.20756210386753082,,-0.09413585,0.7845571
z_scored,10,0.23292392,0.076376714,0.7544310092926025,0.541182279586792,0.32477569580078125,0.30614736676216125,0.23933090269565582,,-0.090136416,0.80770564
dot_product,1,16.899603,1.3228551,19.547975540161133,19.043760299682617,18.010173797607422,17.69301414489746,16.864667892456055,,13.1016245,24.430674
dot_product,2,8.625145,2.1026537,16.660680770874023,14.314988136291504,10.883115768432617,10.157833099365234,8.47094440460205,,2.783871,21.991064
dot_product,3,7.6164145,1.2898744,11.754037857055664,10.729970932006836,9.025486946105957,8.7347412109375,7.895590782165527,,3.2654026,15.184018
dot_product,4,7.7234654,0.96105266,12.164714813232422,10.64575481414795,8.802515029907227,8.543944358825684,7.996720790863037,,4.5533166,14.4258585
dot_product,5,4.180057,1.8250904,11.284598350524902,9.388452529907227,6.318436622619629,5.698310852050781,3.8344922065734863,,-1.5065042,15.143383
dot_product,6,3.2379076,1.2714823,9.359004974365234,8.351574897766113,5.464730262756348,5.05383825302124,3.914109945297241,,-1.0681428,11.456954
dot_product,7,3.865792,1.1810617,8.596168518066406,7.7196269035339355,5.9090166091918945,5.3315205574035645,4.249773979187012,,0.6959562,11.16759
dot_product,8,4.238845,1.1083251,9.643596649169922,8.052156448364258,5.849496841430664,5.454394340515137,4.3230509757995605,,0.7792932,11.620639
dot_product,9,2.1764834,1.051421,8.470364570617676,6.950516223907471,3.819654703140259,3.294074296951294,2.5619606971740723,,-1.4624987,11.265245
dot_product,10,2.608066,0.8968401,8.397448539733887,6.129523754119873,3.704873561859131,3.4776723384857178,2.7260491847991943,,-1.133515,10.597188
