gamma,lead_hours,global_mean_ivt,file
-0.5,66.0,162.7330672095763,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,72.0,162.038075192693,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,78.0,161.43960062020324,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,84.0,160.28837356890153,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,90.0,160.01510093021227,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,96.0,159.87173566018961,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,102.0,160.6303850864069,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,108.0,160.3268272258467,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,114.0,160.16546254134468,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.5,120.0,159.68413002483067,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.5.nc
-0.2,6.0,176.5190230367776,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,12.0,175.01872459719914,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,18.0,173.5337286170716,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,24.0,174.47805192047676,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,30.0,172.15500512814725,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
