gamma,lead_hours,global_mean_ivt,file
-1.0,6.0,175.8300180942291,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,12.0,173.96917940071975,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,18.0,172.21476991657892,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,24.0,172.96859307849934,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,30.0,170.48520055048547,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,36.0,168.26301003847533,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,42.0,166.72720442474824,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,48.0,166.4455758592687,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,54.0,165.31145027459948,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,60.0,163.44061319027014,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,66.0,162.27459221143772,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,72.0,161.61404262610503,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,78.0,161.0864122561419,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
-1.0,84.0,160.06618444170815,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-1.0.nc
