target,label_mode,n_features,model,direction_training_window,n_train,n_test,train_positive_rate,test_positive_rate,test_average_precision,test_n_positive,test_n_total,test_roc_auc,test_best_threshold,test_f1,test_precision,test_recall
TC,intersection,5,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.0020398226113664962,5562,8642982,0.8439012633339658,0.657934260660307,0.00509306680539152,0.0025574638355012097,0.5958288385472852
TC,intersection,10,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.0028649157232774163,5562,8642982,0.8667473274642917,0.8311875027871809,0.007262985425362048,0.003678913276721424,0.2817331895001798
TC,intersection,25,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.006218866048252918,5562,8642982,0.9216219331799332,0.9547135214610337,0.01645435740960867,0.008678995645691604,0.15803667745415317
TC,intersection,50,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.01732657953245346,5562,8642982,0.9581950425534055,0.9890645319688396,0.04832884251562231,0.0287477833856227,0.15156418554476808
TC,intersection,100,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.06364977475485702,5562,8642982,0.9813835602957841,0.9972021912376452,0.13576927777098863,0.10283228433913365,0.1997482919813017
TC,intersection,200,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.17639085460851084,5562,8642982,0.9917344128759679,0.9989715580521479,0.26869899507654954,0.21500269832703725,0.3581445523193096
TC,intersection,400,logistic_l2_balanced,2020_train_only,8724906,8642982,0.0007588620439005303,0.0006435278934978692,0.3415735021109683,5562,8642982,0.9948689820245452,0.9998632614500195,0.39335086082605375,0.37229089741531546,0.41693635382955774
