date,file,PC1_mean,PC1_std,PC1_min,PC1_max,PC1_abs_mean,PC2_mean,PC2_std,PC2_min,PC2_max,PC2_abs_mean,PC3_mean,PC3_std,PC3_min,PC3_max,PC3_abs_mean,PC4_mean,PC4_std,PC4_min,PC4_max,PC4_abs_mean,PC5_mean,PC5_std,PC5_min,PC5_max,PC5_abs_mean
2021-01-01,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-01T00.npy,-0.6188323346075815,4.5712539262250065,-12.547931231461327,10.836252153865484,3.851967286008087,0.23935951834843627,4.280746173151978,-11.924733516225682,15.334170451286456,3.4261847221416493,0.3600869355889436,3.59778853936524,-10.899714317241694,11.526505791735264,2.9205026417464826,-0.44287579020425827,3.930434482725252,-14.81428580426232,12.774619868858313,3.1754054546113997,-0.3168298982595474,3.7566892813941486,-11.91004377316485,11.632048753818847,3.081334447585533
2021-01-01,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-01T06.npy,0.21516659406867833,4.849860916398991,-11.696529198900684,11.483410353266716,4.159531171372326,-0.03319972595324389,4.790762126862122,-12.72193562872359,15.817226584938679,3.8073834579909853,-0.4257283271391913,3.6055748127445892,-11.647766327610878,11.217624072587817,2.9548225605266802,-0.4210745833983136,3.8705780531637752,-14.272998016937624,12.142700752084096,3.140359713599021,-0.20680236840394084,3.8300498400817684,-12.372036752912422,13.14394108028758,3.1310072065501973
2021-01-01,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-01T12.npy,-0.4476260462329296,4.6069984551783,-12.12071538999108,11.079596234452188,3.890349195684758,0.2803880667374894,4.3290177798817675,-11.101189380040829,15.256399902610102,3.4514310297256543,0.498030531513388,3.467559932974872,-10.776619174532247,12.749791905826136,2.837471563626683,-0.5214621139865985,3.9545269005179837,-14.25425903235079,12.688020232341202,3.1921202260963675,-0.45399378477373004,3.7318597678169345,-12.051948607296616,12.59648605420069,3.0676476662015606
2021-01-01,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-01T18.npy,0.1486712996141481,4.849419065515131,-11.327528922089755,11.751277624713069,4.162578068366228,0.02010897361946422,4.899399825791316,-13.801781685555586,15.557501300257847,3.8908397639922363,-0.4743658668872558,3.683875678224276,-13.297904114841494,12.836498740892992,3.005286538218201,-0.26751833637123745,3.8234673208992893,-13.836959277229678,11.50166497659444,3.0374580634276733,-0.1703021574998835,3.922713548653751,-13.238994691135069,14.672138145072761,3.2475876386133344
2021-01-02,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-02T00.npy,-0.5586467103514041,4.561288697536235,-12.014970343162869,11.327886619596624,3.8515420443689354,0.2708234009715781,4.397792593112557,-11.58877125938826,15.370158520822457,3.5199429336381085,0.38175306741403564,3.5750038836362013,-11.041919231170304,12.703047213369528,2.907376123579678,-0.42521349280960125,3.964317481032183,-16.032300605559286,11.711159048439612,3.1595482898107505,-0.33172867090987324,3.8000189546146412,-12.725988869625459,12.323937524450336,3.1096143179125257
2021-01-02,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-02T06.npy,0.25105776622417275,4.836309268585632,-11.986854234607208,13.081939947842905,4.168507115551344,0.017899500631615835,4.900003156557401,-13.781439610017447,15.318269322295373,3.9056374830653393,-0.42965556257687404,3.6828452520297454,-12.83786630895246,12.061472852989526,2.9987148910877157,-0.4124919182703414,3.9535238745517187,-15.314287375988883,11.951711230336265,3.1642840638175866,-0.21088181945942458,3.9136682651046293,-12.211614016512552,12.005960531146517,3.2132078054296223
2021-01-02,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-02T12.npy,-0.4174253195950215,4.596616376759427,-12.381149321791938,11.401661506515774,3.8891893433594795,0.29282323778596475,4.3892340212748975,-11.88339379890556,14.416726661022228,3.499120134955383,0.4572013658736886,3.539371010403824,-11.641059550073923,13.264762581171468,2.8855359189881415,-0.4981169719693523,4.081861424258508,-17.767794303684397,13.172048874120389,3.24751420153117,-0.4422664036431868,3.816190610681341,-13.133262124442176,11.625744943584,3.1318635670597588
2021-01-02,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-02T18.npy,0.1318500057776728,4.83899101778528,-11.742793922117169,11.932758343298556,4.147654086512171,0.05709912970250147,4.94596264762805,-13.615538882037843,15.580846364647687,3.932989568997303,-0.5222846413439549,3.7798040783222184,-11.941661788810942,12.985569599891901,3.1061045375666976,-0.2720088977802551,3.88472680418729,-15.930220109621551,13.032252258551381,3.0479430973390187,-0.1916050207200246,3.9582279062476937,-12.883948816072053,12.591736440552582,3.2691869251223924
2021-01-03,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-03T18.npy,0.1823324180270467,4.77756268870116,-12.20717599634751,11.438475353950773,4.09831249378669,0.07030480685352827,4.905420954114478,-13.382290678076693,15.637731890838975,3.8929767962006494,-0.545746245902166,3.7931281735179634,-12.106295564961902,10.880711457651078,3.130671518092889,-0.20215424776184526,3.8022847569941183,-14.887131579904525,12.086227107508734,2.9898325529656473,-0.1989622263873057,3.9366506130380414,-11.552722374627976,12.519952177102319,3.232296333869072
2021-01-03,layer0008_mesh_gnn_post_res_nodes_mesh_nodes_t2021-01-03T12.npy,-0.41591094475425333,4.50947491170436,-12.823657568232283,11.202453968106896,3.817327027768635,0.32763539749648685,4.402596167770628,-10.766886211520097,15.133209261488318,3.50722651064811,0.40746451614126794,3.5198862910224484,-11.290946216847761,12.892667603408007,2.872902871995771,-0.45048246976795936,3.9905536607334295,-16.253392010125413,12.496927821907622,3.1730620672137833,-0.5548879233065681,3.8293296423297063,-12.092421928461683,11.48670433436401,3.145956132464565
