time_selection,center_time,gamma,matched_time_index,forecast_valid_time,mask_time,mask_time_diff_h,file,mask_file,ivt_global_mean,ivt_global_max,delta_ivt_global_mean,delta_ivt_global_max_abs,ar_like_area_fraction,delta_ar_like_area_fraction,precip_global_mean,delta_precip_global_mean,precip_global_max,ivt_inside_mask_mean,ivt_outside_mask_mean,ivt_inside_mask_max,delta_ivt_inside_mask_mean,delta_ivt_outside_mask_mean,delta_ivt_inside_mask_max_abs,precip_inside_mask_mean,delta_precip_inside_mask_mean
last,2021-01-03 06:00:00,-1.0,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,153.35917443560555,973.633203198113,-9.366598448251633,547.547501059048,0.13832832485745108,-0.018028586839266447,0.0007100107031874359,-4.335249832365662e-05,0.025640329346060753,369.3035969429972,140.9193418378366,973.633203198113,-60.83447026106051,-6.401706777003747,547.547501059048,0.0011674418346956372,-0.0005616041016764939
last,2021-01-03 06:00:00,-0.5,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,157.6303787672692,1023.0379952219479,-5.0953941165879755,395.47911760632235,0.146888965942364,-0.00946794575435353,0.0007295234245248139,-2.383974970143754e-05,0.028584783896803856,401.78657529790337,143.56536036483138,1023.0379952219479,-28.351491906154447,-3.755688250008987,383.10720873728224,0.0014416978228837252,-0.00028734805528074503
last,2021-01-03 06:00:00,-0.2,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_-0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,160.59904673195754,1070.3380313601924,-2.1267261518996587,191.66200145125106,0.15246860070889198,-0.0038883109878255495,0.0007432889542542398,-1.0074251804326195e-05,0.028068367391824722,419.060435869762,145.7099541144862,1070.3380313601924,-11.077631334295816,-1.6110945003541464,191.66200145125106,0.0016207759035751224,-0.00010827002552105114
last,2021-01-03 06:00:00,0.0,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,162.72577288385722,1079.4308240238693,0.0,0.0,0.15635691169671753,0.0,0.0007533631869591773,0.0,0.02722020074725151,430.1380672040578,147.32104861484038,1079.4308240238693,0.0,0.0,0.0,0.001729045994579792,0.0
last,2021-01-03 06:00:00,0.2,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,165.10776968706057,1108.650360685215,2.381996803203401,214.37241679537237,0.16042629835105562,0.004069386654338092,0.0007635860238224268,1.022284686769126e-05,0.030784541741013527,440.0808086733606,149.26749626617215,1108.650360685215,9.942741469302854,1.9464476513317694,191.31848824829922,0.0018013555090874434,7.230969640659168e-05
last,2021-01-03 06:00:00,0.5,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,168.91254335367458,1155.6448577240117,6.186770469817387,415.1179699208965,0.16714632454923717,0.010789412852519636,0.0007806800422258675,2.731689346546773e-05,0.035487037152051926,454.26033603464174,152.4746151651649,1155.6448577240117,24.122268830583952,5.153566550324536,397.2322356187086,0.0019130025757476687,0.00018395668303128332
last,2021-01-03 06:00:00,1.0,18,2021-01-08 00:00:00,2021-01-07 23:00:00,1.0,plots/malins_experiments/pertubation_experiments/AR/pertubation_threshold_None/2021-01-03T06/data/gamma_1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-01-07T23:00:00.000000000.nc,176.4566853531417,1242.9769663045374,13.730912469284515,665.4992968438346,0.18226132686084143,0.025904415164123895,0.0008095659432001412,5.620271258521825e-05,0.03494846448302269,474.9669139993608,159.26051342117972,1242.9769663045374,44.82884679530306,11.939464806339352,532.8103649057914,0.002000335371121764,0.00027128952206112444
