time_selection,center_time,gamma,matched_time_index,forecast_valid_time,mask_time,mask_time_diff_h,file,mask_file,ivt_global_mean,ivt_global_max,delta_ivt_global_mean,delta_ivt_global_max_abs,precip_global_mean,delta_precip_global_mean,precip_global_max,ivt_inside_mask_mean,ivt_outside_mask_mean,ivt_inside_mask_max,delta_ivt_inside_mask_mean,delta_ivt_outside_mask_mean,delta_ivt_inside_mask_max_abs,precip_inside_mask_mean,delta_precip_inside_mask_mean
first,2021-02-12 18:00:00,-1.0,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,155.58354878619016,1573.142747894694,-0.8847964660841346,53.3484406479281,0.0007339374860748649,-8.802631782600656e-06,0.11049101501703262,588.0684502026332,142.01948086548154,1573.142747894694,-14.895896314109157,-0.44536476527946184,53.3484406479281,0.0027485047467052937,-0.00014225736958906054
first,2021-02-12 18:00:00,-0.5,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.0249523735755,1592.3823848933223,-0.443392878698763,30.321328232507767,0.0007383006741292775,-4.439407803147333e-06,0.11049101501703262,595.5158050174822,142.24115601630191,1592.3823848933223,-7.4485414992603145,-0.2236896144590607,30.321328232507767,0.002818227745592594,-7.253397052409127e-05
first,2021-02-12 18:00:00,-0.2,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.28904271108428,1598.6894934301558,-0.17930254119000252,16.4330122587819,0.0007409218815155327,-1.818200644265744e-06,0.11001589149236679,599.969678983226,142.37384169850296,1598.6894934301558,-2.9946675335164987,-0.09100393225803295,16.4330122587819,0.0028611975722014904,-2.9564214855781756e-05
first,2021-02-12 18:00:00,0.0,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.46834525227428,1603.554761725129,0.0,0.0,0.0007427401142194867,0.0,0.11049101501703262,602.9643465167424,142.46484563076103,1603.554761725129,0.0,0.0,0.0,0.0028907619416713715,0.0
first,2021-02-12 18:00:00,0.2,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.6489915642082,1621.3911014971331,0.18064631193389102,20.625337959871786,0.0007445001392625272,1.760035615916422e-06,0.11049101501703262,605.9776890497079,142.5566497724964,1621.3911014971331,3.013342532965465,0.0918041417353836,20.625337959871786,0.00291911861859262,2.8356629627523944e-05
first,2021-02-12 18:00:00,0.5,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.92144829169297,1627.7451119880056,0.4531030394186766,34.35912586241852,0.0007472981815226376,4.558085493044928e-06,0.11049101501703262,610.5241306071388,142.69506103302308,1627.7451119880056,7.559784090396292,0.2302154022620718,34.35912586241852,0.002963524078950286,7.276208634721115e-05
first,2021-02-12 18:00:00,1.0,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,157.37707950302254,1648.1744529447133,0.9087342507482501,52.725182976945234,0.000751915096770972,9.174984370474704e-06,0.11001589149236679,618.1954345008904,142.92438629023783,1648.1744529447133,15.231087984147957,0.459540659476838,52.725182976945234,0.0030384580604732037,0.0001476963225286454
