PC,pc_summary,seasonal_feature,correlation,abs_correlation
1,global_mean_score,sin_year,-0.008954833082834167,0.008954833082834167
1,global_mean_score,cos_year,-0.36156508002271504,0.36156508002271504
1,global_mean_score,sin_day,0.11824153158753839,0.11824153158753839
1,global_mean_score,cos_day,-0.09276946243340335,0.09276946243340335
1,global_mean_score,month,0.019907338205410584,0.019907338205410584
1,global_mean_score,dayofyear,0.016581551621975697,0.016581551621975697
1,global_mean_score,hour,0.3570529360076942,0.3570529360076942
1,global_absmean_score,sin_year,0.3545613472681146,0.3545613472681146
1,global_absmean_score,cos_year,0.29582352899968134,0.29582352899968134
1,global_absmean_score,sin_day,-0.04534988578577447,0.04534988578577447
1,global_absmean_score,cos_day,0.04047648992215717,0.04047648992215717
1,global_absmean_score,month,-0.17161421726636866,0.17161421726636866
1,global_absmean_score,dayofyear,-0.17301175206290584,0.17301175206290584
1,global_absmean_score,hour,0.2789502972889072,0.2789502972889072
1,global_std_score,sin_year,0.3347816265021411,0.3347816265021411
1,global_std_score,cos_year,0.39451930036411575,0.39451930036411575
1,global_std_score,sin_day,-0.09391765543006322,0.09391765543006322
1,global_std_score,cos_day,0.041953974289685995,0.041953974289685995
1,global_std_score,month,-0.15728449053518248,0.15728449053518248
1,global_std_score,dayofyear,-0.15647466214453423,0.15647466214453423
1,global_std_score,hour,0.28856024035827427,0.28856024035827427
2,global_mean_score,sin_year,-0.20526427784086948,0.20526427784086948
2,global_mean_score,cos_year,0.43190211194340217,0.43190211194340217
2,global_mean_score,sin_day,-0.009459651890848528,0.009459651890848528
2,global_mean_score,cos_day,0.0007413124475159585,0.0007413124475159585
2,global_mean_score,month,0.07467466318227539,0.07467466318227539
2,global_mean_score,dayofyear,0.07639676262701363,0.07639676262701363
2,global_mean_score,hour,-0.249079065680512,0.249079065680512
2,global_absmean_score,sin_year,-0.4443808633560592,0.4443808633560592
2,global_absmean_score,cos_year,0.14486202587256983,0.14486202587256983
2,global_absmean_score,sin_day,-0.05854046046798043,0.05854046046798043
2,global_absmean_score,cos_day,-0.006673910096686872,0.006673910096686872
2,global_absmean_score,month,0.34296138916126395,0.34296138916126395
2,global_absmean_score,dayofyear,0.343366319180994,0.343366319180994
2,global_absmean_score,hour,0.40029012635831374,0.40029012635831374
2,global_std_score,sin_year,-0.41805051285110295,0.41805051285110295
2,global_std_score,cos_year,0.21532392046911406,0.21532392046911406
2,global_std_score,sin_day,-0.05544774457971822,0.05544774457971822
2,global_std_score,cos_day,-0.0020763136260657745,0.0020763136260657745
2,global_std_score,month,0.3333181385063338,0.3333181385063338
2,global_std_score,dayofyear,0.3339074381974665,0.3339074381974665
2,global_std_score,hour,0.3958560448942026,0.3958560448942026
3,global_mean_score,sin_year,0.016094706307843223,0.016094706307843223
3,global_mean_score,cos_year,0.05654292844627026,0.05654292844627026
3,global_mean_score,sin_day,-0.09582801228724665,0.09582801228724665
3,global_mean_score,cos_day,0.08076641364303284,0.08076641364303284
3,global_mean_score,month,0.0021792969109919952,0.0021792969109919952
3,global_mean_score,dayofyear,0.0010744315837873187,0.0010744315837873187
3,global_mean_score,hour,0.4320737904587875,0.4320737904587875
3,global_absmean_score,sin_year,-0.2459362650185268,0.2459362650185268
3,global_absmean_score,cos_year,-0.3008952034159614,0.3008952034159614
3,global_absmean_score,sin_day,-0.22313816820894658,0.22313816820894658
3,global_absmean_score,cos_day,0.15646957488293586,0.15646957488293586
3,global_absmean_score,month,0.3106617408581922,0.3106617408581922
3,global_absmean_score,dayofyear,0.30599235474882014,0.30599235474882014
3,global_absmean_score,hour,0.22507892768601276,0.22507892768601276
3,global_std_score,sin_year,-0.298429980942858,0.298429980942858
3,global_std_score,cos_year,-0.36154623978873024,0.36154623978873024
3,global_std_score,sin_day,-0.22236913724217025,0.22236913724217025
3,global_std_score,cos_day,0.18895009552394249,0.18895009552394249
3,global_std_score,month,0.3385714833011119,0.3385714833011119
3,global_std_score,dayofyear,0.333090154212388,0.333090154212388
3,global_std_score,hour,0.1824232317107609,0.1824232317107609
4,global_mean_score,sin_year,-0.49205135013151025,0.49205135013151025
4,global_mean_score,cos_year,-0.7952220916215376,0.7952220916215376
4,global_mean_score,sin_day,-0.14516181518938526,0.14516181518938526
4,global_mean_score,cos_day,0.07408957329721551,0.07408957329721551
4,global_mean_score,month,0.4071877508138959,0.4071877508138959
4,global_mean_score,dayofyear,0.40336147139480394,0.40336147139480394
4,global_mean_score,hour,0.15689199227185283,0.15689199227185283
4,global_absmean_score,sin_year,-0.19753623434774567,0.19753623434774567
4,global_absmean_score,cos_year,-0.8839600315330204,0.8839600315330204
4,global_absmean_score,sin_day,0.0008613225895120142,0.0008613225895120142
4,global_absmean_score,cos_day,0.013533197856512016,0.013533197856512016
4,global_absmean_score,month,0.15556636736418822,0.15556636736418822
4,global_absmean_score,dayofyear,0.1527552435037145,0.1527552435037145
4,global_absmean_score,hour,-0.040563074202814284,0.040563074202814284
4,global_std_score,sin_year,-0.17000426323760676,0.17000426323760676
4,global_std_score,cos_year,-0.8832171805080572,0.8832171805080572
4,global_std_score,sin_day,0.004773267230481164,0.004773267230481164
4,global_std_score,cos_day,0.012750022573254062,0.012750022573254062
4,global_std_score,month,0.15781592292636354,0.15781592292636354
4,global_std_score,dayofyear,0.15507169161368387,0.15507169161368387
4,global_std_score,hour,-0.058846458794994276,0.058846458794994276
5,global_mean_score,sin_year,0.12087535791282299,0.12087535791282299
5,global_mean_score,cos_year,0.519443045921226,0.519443045921226
5,global_mean_score,sin_day,0.12948510356511217,0.12948510356511217
5,global_mean_score,cos_day,-0.14426985497139042,0.14426985497139042
5,global_mean_score,month,-0.14434168372857048,0.14434168372857048
5,global_mean_score,dayofyear,-0.15203890318689603,0.15203890318689603
5,global_mean_score,hour,-0.09724779567982475,0.09724779567982475
5,global_absmean_score,sin_year,0.5694496067907192,0.5694496067907192
5,global_absmean_score,cos_year,0.7119872071710659,0.7119872071710659
5,global_absmean_score,sin_day,-0.0068938415020122915,0.0068938415020122915
5,global_absmean_score,cos_day,0.08180428487290657,0.08180428487290657
5,global_absmean_score,month,-0.49172601691022366,0.49172601691022366
5,global_absmean_score,dayofyear,-0.4929232183625026,0.4929232183625026
5,global_absmean_score,hour,-0.04398023958031144,0.04398023958031144
5,global_std_score,sin_year,0.5430268693793044,0.5430268693793044
5,global_std_score,cos_year,0.7149293381101011,0.7149293381101011
5,global_std_score,sin_day,0.010762491289745322,0.010762491289745322
5,global_std_score,cos_day,0.0877778048577376,0.0877778048577376
5,global_std_score,month,-0.46578418224202583,0.46578418224202583
5,global_std_score,dayofyear,-0.46756318119232204,0.46756318119232204
5,global_std_score,hour,-0.0704982311352448,0.0704982311352448
6,global_mean_score,sin_year,-0.18098357897110393,0.18098357897110393
6,global_mean_score,cos_year,-0.24965078826203974,0.24965078826203974
6,global_mean_score,sin_day,0.36762373232902823,0.36762373232902823
6,global_mean_score,cos_day,0.02166362583573065,0.02166362583573065
6,global_mean_score,month,0.17412948310385193,0.17412948310385193
6,global_mean_score,dayofyear,0.17439512209299374,0.17439512209299374
6,global_mean_score,hour,-0.5892425406926618,0.5892425406926618
6,global_absmean_score,sin_year,-0.4602082510547727,0.4602082510547727
6,global_absmean_score,cos_year,-0.5309290843721404,0.5309290843721404
6,global_absmean_score,sin_day,0.021576545655427076,0.021576545655427076
6,global_absmean_score,cos_day,0.03640156867912146,0.03640156867912146
6,global_absmean_score,month,0.44241872356290074,0.44241872356290074
6,global_absmean_score,dayofyear,0.44515053814776856,0.44515053814776856
6,global_absmean_score,hour,-0.0022577500430951076,0.0022577500430951076
6,global_std_score,sin_year,-0.49223220893469344,0.49223220893469344
6,global_std_score,cos_year,-0.5480539703301186,0.5480539703301186
6,global_std_score,sin_day,0.05789568483065274,0.05789568483065274
6,global_std_score,cos_day,0.040172877801644406,0.040172877801644406
6,global_std_score,month,0.47389739661802904,0.47389739661802904
6,global_std_score,dayofyear,0.47565282310914486,0.47565282310914486
6,global_std_score,hour,-0.07974824531251386,0.07974824531251386
7,global_mean_score,sin_year,0.02013364101335115,0.02013364101335115
7,global_mean_score,cos_year,-0.5244794737268356,0.5244794737268356
7,global_mean_score,sin_day,0.3191108166376412,0.3191108166376412
7,global_mean_score,cos_day,-0.05941933426036729,0.05941933426036729
7,global_mean_score,month,0.05535894125163619,0.05535894125163619
7,global_mean_score,dayofyear,0.056987766070638296,0.056987766070638296
7,global_mean_score,hour,-0.49450509779791263,0.49450509779791263
7,global_absmean_score,sin_year,-0.34308060525090195,0.34308060525090195
7,global_absmean_score,cos_year,0.4870718491100649,0.4870718491100649
7,global_absmean_score,sin_day,0.5681067819756034,0.5681067819756034
7,global_absmean_score,cos_day,0.090909931870024,0.090909931870024
7,global_absmean_score,month,0.30362077190643794,0.30362077190643794
7,global_absmean_score,dayofyear,0.2986668703117403,0.2986668703117403
7,global_absmean_score,hour,-0.4254733376193161,0.4254733376193161
7,global_std_score,sin_year,-0.37471791539929455,0.37471791539929455
7,global_std_score,cos_year,0.3695379954564799,0.3695379954564799
7,global_std_score,sin_day,0.6621087039939803,0.6621087039939803
7,global_std_score,cos_day,0.10394288597304858,0.10394288597304858
7,global_std_score,month,0.3612732316549184,0.3612732316549184
7,global_std_score,dayofyear,0.35720966932097314,0.35720966932097314
7,global_std_score,hour,-0.5279248366914885,0.5279248366914885
8,global_mean_score,sin_year,0.6125871264690128,0.6125871264690128
8,global_mean_score,cos_year,0.47667921904825195,0.47667921904825195
8,global_mean_score,sin_day,-0.017472202116547268,0.017472202116547268
8,global_mean_score,cos_day,0.22322081197211,0.22322081197211
8,global_mean_score,month,-0.5481985236470285,0.5481985236470285
8,global_mean_score,dayofyear,-0.544954894919381,0.544954894919381
8,global_mean_score,hour,-0.13859659217224904,0.13859659217224904
8,global_absmean_score,sin_year,-0.18049358252450942,0.18049358252450942
8,global_absmean_score,cos_year,-0.5736558956478249,0.5736558956478249
8,global_absmean_score,sin_day,0.21279898504819192,0.21279898504819192
8,global_absmean_score,cos_day,-0.15365798331939257,0.15365798331939257
8,global_absmean_score,month,0.11458703499808824,0.11458703499808824
8,global_absmean_score,dayofyear,0.1119986485253992,0.1119986485253992
8,global_absmean_score,hour,-0.13577503258566836,0.13577503258566836
8,global_std_score,sin_year,-0.056988573366156946,0.056988573366156946
8,global_std_score,cos_year,-0.46530563541559894,0.46530563541559894
8,global_std_score,sin_day,0.24193142180330787,0.24193142180330787
8,global_std_score,cos_day,-0.09639795531003137,0.09639795531003137
8,global_std_score,month,0.05102533394175733,0.05102533394175733
8,global_std_score,dayofyear,0.050220265806359264,0.050220265806359264
8,global_std_score,hour,-0.22537863975841949,0.22537863975841949
9,global_mean_score,sin_year,-0.4486253086916947,0.4486253086916947
9,global_mean_score,cos_year,-0.25556770034982607,0.25556770034982607
9,global_mean_score,sin_day,0.15573653444402366,0.15573653444402366
9,global_mean_score,cos_day,-0.0650229573020213,0.0650229573020213
9,global_mean_score,month,0.31540893230361694,0.31540893230361694
9,global_mean_score,dayofyear,0.31552602371768146,0.31552602371768146
9,global_mean_score,hour,-0.3748016832401536,0.3748016832401536
9,global_absmean_score,sin_year,0.3531340689281647,0.3531340689281647
9,global_absmean_score,cos_year,-0.09922130911117248,0.09922130911117248
9,global_absmean_score,sin_day,-0.1440625716791616,0.1440625716791616
9,global_absmean_score,cos_day,0.32472075614382273,0.32472075614382273
9,global_absmean_score,month,-0.32729329358670123,0.32729329358670123
9,global_absmean_score,dayofyear,-0.32224365516423004,0.32224365516423004
9,global_absmean_score,hour,-0.2806180709075174,0.2806180709075174
9,global_std_score,sin_year,0.3914923201145135,0.3914923201145135
9,global_std_score,cos_year,-0.06653520784806764,0.06653520784806764
9,global_std_score,sin_day,-0.12450901089001842,0.12450901089001842
9,global_std_score,cos_day,0.3348904112629307,0.3348904112629307
9,global_std_score,month,-0.3500134424924848,0.3500134424924848
9,global_std_score,dayofyear,-0.3447227836612086,0.3447227836612086
9,global_std_score,hour,-0.2700119272332507,0.2700119272332507
10,global_mean_score,sin_year,-0.10194251262446279,0.10194251262446279
10,global_mean_score,cos_year,-0.12552819352982358,0.12552819352982358
10,global_mean_score,sin_day,0.20773433205725664,0.20773433205725664
10,global_mean_score,cos_day,0.15244563055095747,0.15244563055095747
10,global_mean_score,month,0.026067475528227947,0.026067475528227947
10,global_mean_score,dayofyear,0.02431134359474018,0.02431134359474018
10,global_mean_score,hour,0.12677754090848461,0.12677754090848461
10,global_absmean_score,sin_year,0.03178768967694171,0.03178768967694171
10,global_absmean_score,cos_year,-0.06854418883723373,0.06854418883723373
10,global_absmean_score,sin_day,-0.1802714017869527,0.1802714017869527
10,global_absmean_score,cos_day,-0.13390085412164304,0.13390085412164304
10,global_absmean_score,month,-0.06337032178023926,0.06337032178023926
10,global_absmean_score,dayofyear,-0.05837442931106195,0.05837442931106195
10,global_absmean_score,hour,0.25301978401385705,0.25301978401385705
10,global_std_score,sin_year,-0.032381964663676356,0.032381964663676356
10,global_std_score,cos_year,-0.08775234680619219,0.08775234680619219
10,global_std_score,sin_day,-0.18706562349340064,0.18706562349340064
10,global_std_score,cos_day,-0.07529563797468043,0.07529563797468043
10,global_std_score,month,-0.021514861713733884,0.021514861713733884
10,global_std_score,dayofyear,-0.014307885024356266,0.014307885024356266
10,global_std_score,hour,0.1661672857050418,0.1661672857050418
11,global_mean_score,sin_year,-0.21856886897152572,0.21856886897152572
11,global_mean_score,cos_year,-0.5851114558522503,0.5851114558522503
11,global_mean_score,sin_day,0.014743970491434373,0.014743970491434373
11,global_mean_score,cos_day,-0.01195405924483892,0.01195405924483892
11,global_mean_score,month,0.2528672706984765,0.2528672706984765
11,global_mean_score,dayofyear,0.2511549354152704,0.2511549354152704
11,global_mean_score,hour,-0.2695183563139246,0.2695183563139246
11,global_absmean_score,sin_year,0.35933744475220614,0.35933744475220614
