source,gamma,lead_hours,forecast_valid_time,global_mean_ivt,file
GraphCast,-0.5,36.0,2021-02-14 06:00:00,149.5760611326791,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,42.0,2021-02-14 12:00:00,149.66128989504773,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,48.0,2021-02-14 18:00:00,150.50416281408653,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,54.0,2021-02-15 00:00:00,151.53252133488482,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,60.0,2021-02-15 06:00:00,153.18473707120498,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,66.0,2021-02-15 12:00:00,153.3930626261742,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,72.0,2021-02-15 18:00:00,153.3618948063498,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,78.0,2021-02-16 00:00:00,152.30268782103772,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,84.0,2021-02-16 06:00:00,152.04784323611875,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,90.0,2021-02-16 12:00:00,151.728370952133,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,96.0,2021-02-16 18:00:00,152.15110683598633,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,102.0,2021-02-17 00:00:00,152.15397301529788,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,108.0,2021-02-17 06:00:00,153.9735952926499,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,114.0,2021-02-17 12:00:00,154.95237080768078,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.5,120.0,2021-02-17 18:00:00,155.56892151654625,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.5.nc
GraphCast,-0.2,6.0,2021-02-13 00:00:00,156.28904271108428,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,12.0,2021-02-13 06:00:00,155.245537821108,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,18.0,2021-02-13 12:00:00,153.14659501971067,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,24.0,2021-02-13 18:00:00,151.0837218756957,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,30.0,2021-02-14 00:00:00,149.6709723714275,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,36.0,2021-02-14 06:00:00,150.20499940381245,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,42.0,2021-02-14 12:00:00,150.33098316383587,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,48.0,2021-02-14 18:00:00,151.2584584411043,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,54.0,2021-02-15 00:00:00,152.36557327235158,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,60.0,2021-02-15 06:00:00,154.05147016124843,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,66.0,2021-02-15 12:00:00,154.32255850573847,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,72.0,2021-02-15 18:00:00,154.3392871610099,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,78.0,2021-02-16 00:00:00,153.3228370409252,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,84.0,2021-02-16 06:00:00,153.03336353938943,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,90.0,2021-02-16 12:00:00,152.65021722719908,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,96.0,2021-02-16 18:00:00,153.01747007403372,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,102.0,2021-02-17 00:00:00,153.0077799810622,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,108.0,2021-02-17 06:00:00,154.77031107055996,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,-0.2,114.0,2021-02-17 12:00:00,155.75841437805198,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
