time_selection,center_time,gamma,matched_time_index,forecast_valid_time,mask_time,mask_time_diff_h,file,mask_file,ivt_global_mean,ivt_global_max,delta_ivt_global_mean,delta_ivt_global_max_abs,precip_global_mean,delta_precip_global_mean,precip_global_max,ivt_inside_mask_mean,ivt_outside_mask_mean,ivt_inside_mask_max,delta_ivt_inside_mask_mean,delta_ivt_outside_mask_mean,delta_ivt_inside_mask_max_abs,precip_inside_mask_mean,delta_precip_inside_mask_mean
last,2021-07-18 00:00:00,-1.0,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,178.40233391851942,1803.4532724816547,-10.92063675794651,1493.3925951944916,0.0006945921340957284,-5.162667730473913e-05,0.06205742061138153,360.636261275565,173.34922583259626,962.9046659749266,-108.75422489619584,-8.207833839982642,466.21845651101484,0.0006789042381569743,-0.001102988957427442
last,2021-07-18 00:00:00,-0.5,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,183.08072468772838,2270.1129015394545,-6.242245988737573,1711.3002289346407,0.0007156411302275956,-3.057771755266003e-05,0.0676284059882164,413.1401827759011,176.7014744648324,1037.0783328211062,-56.25030339585971,-4.855585207746556,355.91619770756347,0.0010316551197320223,-0.0007502380176447332
last,2021-07-18 00:00:00,-0.2,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_-0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,186.5939775110065,2432.3290706884673,-2.728993165459416,1173.198724310015,0.0007324791513383389,-1.3739636415266432e-05,0.054870881140232086,448.20544193605417,179.33982965280697,1073.5701126167519,-21.18504423570667,-2.217230019771957,200.37359044008394,0.001428146380931139,-0.000353746727341786
last,2021-07-18 00:00:00,0.0,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_0.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,189.32297067646596,2466.738652823143,0.0,0.0,0.0007462187786586583,0.0,0.04749249666929245,469.39048617176087,181.55705967257893,1102.5057322523467,0.0,0.0,0.0,0.0017818931955844164,0.0
last,2021-07-18 00:00:00,0.2,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,192.36713144905042,2363.6099843166166,3.0441607725844797,1465.2839740788154,0.0007614603964611888,1.5241622350004036e-05,0.038168083876371384,483.8046021482963,184.2859459405369,1144.4071795966242,14.414115976535456,2.7288862679579577,257.51490819691264,0.0021555419079959393,0.0003736487706191838
last,2021-07-18 00:00:00,0.5,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,197.82647515574263,2367.977997642552,8.503504479276657,2060.7717000496045,0.0007893398869782686,4.312111559556797e-05,0.04166093468666077,490.7728858561564,189.70344898407546,1204.64147381854,21.382399684395498,8.146389311496538,483.15788065009144,0.0026027411222457886,0.0008208479848690331
last,2021-07-18 00:00:00,1.0,19,2021-07-23 00:00:00,2021-07-23 00:00:00,0.0,results/perturbation/AR/Node_Hierarchy_Level_M6/raw_activations/2021-07-18T00/data/gamma_1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-07-23T00:00:00.000000000.nc,209.41436931314726,2222.594596683288,20.091398636681333,1563.0497903430773,0.0008464145357720554,0.00010019572800956666,0.045842867344617844,480.1411835656471,201.90746567475756,1310.635496291251,10.750697393886306,20.350406002178644,569.0813516171274,0.002785678952932358,0.0010037857573479414
