target,n_features,r2_test,rmse_test,corr_test,n_train,n_test
z500,512,0.8875675797462463,944.1941008076676,0.9421092955961543,2797704,924882
t850,512,0.876331090927124,4.237309976553798,0.9362834870214504,2797704,924882
q850,512,0.876007080078125,0.0014885337820593962,0.936055830287606,2797704,924882
u850,512,0.8303359746932983,3.4195992204840837,0.9112341531867465,2797704,924882
v850,512,0.6718282699584961,3.328237182445798,0.8199030206964074,2797704,924882
msl,512,0.8205281496047974,518.7479518031854,0.9059940303839012,2797704,924882
2t,512,0.8773812055587769,5.270034709432476,0.9368827654552698,2797704,924882
