pc_name,pc_index,total_timesteps,top1_variable,top1_mean_abs_r,top1_wins,top1_count,top2_variable,top2_mean_abs_r,top2_wins,top2_count,top3_variable,top3_mean_abs_r,top3_wins,top3_count
PC_158,158,1453,v_component_of_wind_lev10,0.07423485184731077,266,1453,specific_humidity_lev10,0.06395147858102633,144,1453,vertical_velocity_lev11,0.05876434352909101,23,1453
PC_159,159,1453,temperature_lev12,0.06396568074614874,75,1453,longitude_sin,0.0634097667632884,52,1453,toa_incident_solar_radiation,0.06292695416304898,136,1453
PC_160,160,1453,u_component_of_wind_lev10,0.06039321016965427,129,1453,u_component_of_wind_lev11,0.059043955350065735,82,1453,u_component_of_wind_lev16,0.05458162590604914,46,1453
PC_161,161,1453,local_time_sin,0.06072672632830464,11,1453,longitude_sin,0.046585505075658576,135,1453,u_component_of_wind_lev08,0.043850360449750006,65,1453
PC_162,162,1453,specific_humidity_lev17,0.08851609477248686,564,1453,specific_humidity_lev19,0.07667534254050194,20,1453,specific_humidity_lev20,0.07658801096686717,30,1453
PC_163,163,1453,v_component_of_wind_lev18,0.07713166010088617,120,1453,v_component_of_wind_lev17,0.07642353473646962,85,1453,specific_humidity_lev10,0.07146694277507126,129,1453
PC_164,164,1453,v_component_of_wind_lev09,0.09978539336973745,402,1453,v_component_of_wind_lev13,0.0911106025352715,122,1453,v_component_of_wind_lev12,0.08912090665797966,110,1453
PC_165,165,1453,specific_humidity_lev10,0.07128299856320283,234,1453,vertical_velocity_lev17,0.07043301529255526,44,1453,vertical_velocity_lev18,0.06618465995448093,12,1453
PC_166,166,1453,temperature_lev10,0.06415181227325177,58,1453,temperature_lev11,0.06196225023872233,53,1453,temperature_lev09,0.05980459980747399,80,1453
PC_167,167,1453,v_component_of_wind_lev09,0.0905643641443419,231,1453,v_component_of_wind_lev10,0.08780284522807787,211,1453,specific_humidity_lev07,0.0739945202266929,158,1453
PC_168,168,1453,temperature_lev15,0.07600984644586219,45,1453,geopotential_lev07,0.07435004385993034,57,1453,geopotential_lev06,0.0739342111806045,22,1453
PC_169,169,1453,temperature_lev19,0.08463629252550606,3,1453,temperature_lev20,0.08458319574472353,3,1453,geopotential_lev15,0.08443313191298886,0,1453
PC_170,170,1453,temperature_lev10,0.08219685040281774,136,1453,specific_humidity_lev05,0.07919626131408306,100,1453,temperature_lev18,0.0788155444659152,11,1453
PC_171,171,1453,specific_humidity_lev13,0.08198879189556625,237,1453,specific_humidity_lev14,0.07645357579288649,111,1453,u_component_of_wind_lev32,0.07320064884410854,41,1453
PC_172,172,1453,latitude_sin,0.0731782751658614,52,1453,latitude,0.07142705572713763,37,1453,temperature_lev18,0.07006373552377919,44,1453
PC_173,173,1453,temperature_lev09,0.06264223232375997,134,1453,temperature_lev10,0.06146201823297801,61,1453,temperature_lev08,0.056719893805760084,20,1453
PC_174,174,1453,toa_incident_solar_radiation,0.05895075370976718,141,1453,vertical_velocity_lev12,0.05694746517983931,56,1453,temperature_lev36,0.05596872104427956,5,1453
PC_175,175,1453,geopotential_at_surface,0.06617227671609646,263,1453,latitude_sin,0.05558051852970794,88,1453,latitude,0.05504534370680025,17,1453
PC_176,176,1453,specific_humidity_lev10,0.07523645856905951,225,1453,v_component_of_wind_lev19,0.07477177950685074,167,1453,v_component_of_wind_lev20,0.06555178248427578,2,1453
PC_177,177,1453,temperature_lev32,0.07495715022234418,16,1453,temperature_lev31,0.07487185865833446,4,1453,temperature_lev33,0.07449234266977856,50,1453
PC_178,178,1453,geopotential_lev25,0.06985051988029431,20,1453,geopotential_lev26,0.06981250585727812,16,1453,geopotential_lev27,0.06967389515557193,16,1453
PC_179,179,1453,specific_humidity_lev03,0.0637255428621854,93,1453,specific_humidity_lev04,0.06294659171595558,33,1453,geopotential_lev25,0.06174543243260524,9,1453
PC_180,180,1453,specific_humidity_lev12,0.07078940045920212,176,1453,specific_humidity_lev10,0.06922353763072676,81,1453,specific_humidity_lev11,0.06894644135479674,135,1453
PC_181,181,1453,specific_humidity_lev08,0.06203009472320876,113,1453,specific_humidity_lev07,0.061057308187739016,199,1453,v_component_of_wind_lev09,0.06078188826163315,128,1453
PC_182,182,1453,v_component_of_wind_lev09,0.0782048553240797,211,1453,specific_humidity_lev10,0.06484600980334518,70,1453,latitude_sin,0.06457994144322222,153,1453
PC_183,183,1453,temperature_lev26,0.06103427238452342,34,1453,temperature_lev27,0.06082851174023801,6,1453,temperature_lev29,0.06063242144980977,1,1453
PC_184,184,1453,specific_humidity_lev11,0.06655311091290422,131,1453,specific_humidity_lev12,0.06547059244468548,139,1453,specific_humidity_lev07,0.05842061541547181,62,1453
PC_185,185,1453,toa_incident_solar_radiation,0.08037961458550806,157,1453,longitude_sin,0.07825262330500853,207,1453,specific_humidity_lev03,0.07686999556822821,58,1453
PC_186,186,1453,local_time_sin,0.046324300964431374,19,1453,longitude_cos,0.044786446612457474,113,1453,u_component_of_wind_lev08,0.04336856864955104,80,1453
PC_187,187,1453,geopotential_lev10,0.06152407354918215,3,1453,geopotential_lev11,0.061353002590589456,1,1453,geopotential_lev12,0.061044169793353566,0,1453
PC_188,188,1453,vertical_velocity_lev13,0.06059782746320376,61,1453,toa_incident_solar_radiation,0.058280378688406506,230,1453,vertical_velocity_lev12,0.05732838650402618,14,1453
