time_selection,center_time,gamma,matched_time_index,forecast_valid_time,mask_time,mask_time_diff_h,file,mask_file,ivt_global_mean,ivt_global_max,delta_ivt_global_mean,delta_ivt_global_max_abs,precip_global_mean,delta_precip_global_mean,precip_global_max,ivt_inside_mask_mean,ivt_outside_mask_mean,ivt_inside_mask_max,delta_ivt_inside_mask_mean,delta_ivt_outside_mask_mean,delta_ivt_inside_mask_max_abs,precip_inside_mask_mean,delta_precip_inside_mask_mean
first,2021-02-12 18:00:00,-1.0,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,155.75231287703969,1573.130594651226,-0.716032375234606,52.810591344570184,0.0007354447152465582,-7.295421710296068e-06,0.11049101501703262,589.2727810121506,142.1557663646162,1573.130594651226,-13.691565504591834,-0.3090792661448046,52.810591344570184,0.0027559685986489058,-0.00013479327026288956
first,2021-02-12 18:00:00,-0.5,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.10873415182397,1589.0470326947416,-0.3596111004503172,31.54941281323795,0.0007390440441668034,-3.6960561828891514e-06,0.11049101501703262,596.1075256779486,142.30900725213704,1589.0470326947416,-6.856820838793746,-0.15583837862396546,31.54941281323795,0.002821971895173192,-6.87902866047807e-05
first,2021-02-12 18:00:00,-0.2,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_-0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.32431175471476,1598.4611959130793,-0.14403349755951994,18.080668569619547,0.0007412122213281691,-1.527894937680685e-06,0.11001589149236679,600.2162990665257,142.40248211650183,1598.4611959130793,-2.7480474502167134,-0.06236351425917747,18.080668569619547,0.0028627037536352873,-2.8058148018317297e-05
first,2021-02-12 18:00:00,0.0,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_0.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.46834525227428,1603.554761725129,0.0,0.0,0.0007427401142194867,0.0,0.11049101501703262,602.9643465167424,142.46484563076103,1603.554761725129,0.0,0.0,0.0,0.0028907619416713715,0.0
first,2021-02-12 18:00:00,0.2,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_0.2.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.61379117434134,1621.4197561629353,0.14544592206703635,20.746814740450645,0.0007441833731718361,1.4432727084567887e-06,0.11049101501703262,605.7326074915795,142.52803190851793,1621.4197561629353,2.768260974837025,0.06318627775694782,20.746814740450645,0.0029178145341575146,2.7052445148001425e-05
first,2021-02-12 18:00:00,0.5,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_0.5.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,156.8321298006686,1633.9474845478612,0.3637845483943369,33.0078782816704,0.0007465073140338063,3.7671750305889873e-06,0.11049101501703262,609.8999211200929,142.622518386449,1633.9474845478612,6.93557460335049,0.15767275568801606,33.0078782816704,0.0029601617716252804,6.939991726540029e-05
first,2021-02-12 18:00:00,1.0,0,2021-02-13 00:00:00,2021-02-13 00:00:00,0.0,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.9/2021-02-12T18/data/gamma_1.0.nc,/share/prj-4d/graphcast_shared/data/ClimateNetLarge/AR_labels_cleaned/2021-02-13T00:00:00.000000000.nc,157.19932941124364,1652.2640369478192,0.730984158969366,52.34858766587308,0.0007503889501094818,7.648832252016291e-06,0.11001589149236679,616.9430934403291,142.78033871188163,1652.2640369478192,13.97874692358666,0.3154930811206218,52.34858766587308,0.0030312652233988047,0.0001405034854542464
